13:16:33.88843 2020-07-06	started SetCameraFocus(You)
13:17:04.00973 2020-07-06	started EnableIcon(TravelBlacksmith, Anvil, Courtyard.Horse, Travel to the Blacksmith, false)
13:17:04.07275 2020-07-06	succeeded EnableIcon(TravelBlacksmith, Anvil, Courtyard.Horse, Travel to the Blacksmith, false)
13:17:05.70232 2020-07-06	input Take Forging Hammer
13:17:05.74430 2020-07-06	started DisableIcon(Take, Forging Hammer)
13:17:05.75031 2020-07-06	started Take(You, Forging Hammer)
13:17:05.78931 2020-07-06	succeeded DisableIcon(Take, Forging Hammer)
13:17:05.82182 2020-07-06	input started walking You at (299.4, 0.1, -0.3)
13:17:05.85682 2020-07-06	input started walking You at (299.5, 0.1, -0.8)
13:17:05.92531 2020-07-06	input arrived You position Blacksmith.Door.In
13:17:06.53931 2020-07-06	input exited You position Blacksmith.Door.In
13:17:07.08535 2020-07-06	input arrived You position Blacksmith.Table
13:17:07.41735 2020-07-06	input exited You position Blacksmith.Table
13:17:08.07835 2020-07-06	input arrived You position Blacksmith.Table
13:17:08.10134 2020-07-06	input exited You position Blacksmith.Table
13:17:08.27935 2020-07-06	input arrived You position Blacksmith.Table
13:17:08.33337 2020-07-06	input exited You position Blacksmith.Table
13:17:10.69207 2020-07-06	input arrived You at (296.5, 0.1, 2.3)
13:17:10.74007 2020-07-06	succeeded Take(You, Forging Hammer)
13:17:10.77306 2020-07-06	started Pocket(You, Forging Hammer)
13:17:11.71607 2020-07-06	succeeded Pocket(You, Forging Hammer)
13:17:11.75606 2020-07-06	started SetNarration(Press I to open your inventory)
13:17:11.76106 2020-07-06	started ShowNarration()
13:17:11.76706 2020-07-06	started EnableIcon(Put, forge, Blacksmith.Anvil, Put the hammer on the anvil, true)
13:17:11.80306 2020-07-06	succeeded SetNarration(Press I to open your inventory)
13:17:11.80907 2020-07-06	succeeded ShowNarration()
13:17:11.81506 2020-07-06	succeeded EnableIcon(Put, forge, Blacksmith.Anvil, Put the hammer on the anvil, true)
13:17:13.03558 2020-07-06	input Close Narration
13:17:13.06158 2020-07-06	started HideNarration()
13:17:13.08559 2020-07-06	succeeded HideNarration()
13:17:14.44459 2020-07-06	input Put Blacksmith.Anvil
13:17:14.48259 2020-07-06	started EnableIcon(Take, hand, A Sturdy Sword, Take, true)
13:17:14.48859 2020-07-06	started Put(You, Forging Hammer, Blacksmith.Anvil)
13:17:14.51959 2020-07-06	failed EnableIcon(Take, hand, A Sturdy Sword, Take, true) "An icon with the same name has already been enabled for this object"
13:17:14.54860 2020-07-06	input started walking You at (296.5, 0.1, 2.3)
13:17:14.55459 2020-07-06	input stopped walking You at (296.5, 0.1, 2.3)
13:17:14.57859 2020-07-06	input started walking You at (296.5, 0.1, 2.3)
13:17:14.62359 2020-07-06	input arrived You position Blacksmith.Table
13:17:15.09559 2020-07-06	input exited You position Blacksmith.Table
13:17:15.18359 2020-07-06	input arrived You position Blacksmith.Anvil.Top
13:17:15.18859 2020-07-06	input arrived You position Blacksmith.Anvil
13:17:15.55859 2020-07-06	input exited You position Blacksmith.Anvil
13:17:15.56460 2020-07-06	input exited You position Blacksmith.Anvil.Top
13:17:15.67859 2020-07-06	input arrived You position Blacksmith.Anvil
13:17:15.68259 2020-07-06	input arrived You position Blacksmith.Anvil.Top
13:17:15.73559 2020-07-06	input exited You position Blacksmith.Anvil
13:17:15.73859 2020-07-06	input exited You position Blacksmith.Anvil.Top
13:17:18.89111 2020-07-06	input arrived You at (296.3, 0.1, 0.0)
13:17:18.94811 2020-07-06	succeeded Put(You, Forging Hammer, Blacksmith.Anvil)
13:17:18.97911 2020-07-06	started DisableInput()
13:17:18.98312 2020-07-06	started FadeOut()
13:17:19.02811 2020-07-06	succeeded DisableInput()
13:17:20.02811 2020-07-06	succeeded FadeOut()
13:17:20.06611 2020-07-06	started PlaySound(Sheathe)
13:17:20.13011 2020-07-06	succeeded PlaySound(Sheathe)
13:17:21.04111 2020-07-06	started PlaySound(Sheathe)
13:17:21.08411 2020-07-06	succeeded PlaySound(Sheathe)
13:17:22.06411 2020-07-06	started PlaySound(Fireball)
13:17:22.10111 2020-07-06	succeeded PlaySound(Fireball)
13:17:23.05211 2020-07-06	started PlaySound(Draw)
13:17:23.05611 2020-07-06	started SetPosition(Forging Hammer)
13:17:23.06511 2020-07-06	started SetPosition(A Sturdy Sword, Blacksmith.Anvil)
13:17:23.07611 2020-07-06	started DisableIcon(Put, Blacksmith.Anvil)
13:17:23.07911 2020-07-06	started FadeIn()
13:17:23.10711 2020-07-06	succeeded PlaySound(Draw)
13:17:23.11411 2020-07-06	succeeded DisableIcon(Put, Blacksmith.Anvil)
13:17:23.84212 2020-07-06	succeeded SetPosition(Forging Hammer)
13:17:23.84612 2020-07-06	succeeded SetPosition(A Sturdy Sword, Blacksmith.Anvil)
13:17:24.06813 2020-07-06	succeeded FadeIn()
13:17:24.09515 2020-07-06	started EnableInput()
13:17:24.12112 2020-07-06	succeeded EnableInput()
13:17:24.80213 2020-07-06	input started walking You at (296.3, 0.1, 0.0)
13:17:24.83913 2020-07-06	input started walking You at (296.3, 0.1, -0.4)
13:17:24.84313 2020-07-06	input stopped walking You at (296.3, 0.1, -0.4)
13:17:24.87512 2020-07-06	input started walking You at (296.3, 0.1, -0.4)
13:17:24.91812 2020-07-06	input arrived You position Blacksmith.Anvil.Top
13:17:24.92213 2020-07-06	input arrived You position Blacksmith.Anvil
13:17:24.94812 2020-07-06	input exited You position Blacksmith.Anvil.Top
13:17:24.95312 2020-07-06	input exited You position Blacksmith.Anvil
13:17:24.98013 2020-07-06	input arrived You position Blacksmith.Anvil.Top
13:17:24.98313 2020-07-06	input arrived You position Blacksmith.Anvil
13:17:25.39912 2020-07-06	input exited You position Blacksmith.Anvil.Top
13:17:25.40412 2020-07-06	input exited You position Blacksmith.Anvil
13:17:25.46812 2020-07-06	input stopped walking You at (296.7, 0.1, -1.1)
13:17:26.13871 2020-07-06	input arrived You at (296.7, 0.1, -1.1)
13:17:29.44325 2020-07-06	input Take A Sturdy Sword
13:17:29.47725 2020-07-06	started DisableIcon(Take, A Sturdy Sword)
13:17:29.48225 2020-07-06	started Take(You, A Sturdy Sword)
13:17:29.51925 2020-07-06	succeeded DisableIcon(Take, A Sturdy Sword)
13:17:29.56625 2020-07-06	input started walking You at (296.7, 0.1, -1.1)
13:17:29.62225 2020-07-06	input started walking You at (296.7, 0.1, -1.1)
13:17:29.74525 2020-07-06	input arrived You position Blacksmith.Anvil.Top
13:17:29.75025 2020-07-06	input arrived You position Blacksmith.Anvil
13:17:30.27225 2020-07-06	input exited You position Blacksmith.Anvil.Top
13:17:30.27625 2020-07-06	input exited You position Blacksmith.Anvil
13:17:31.21382 2020-07-06	input arrived You position Blacksmith.Anvil.Top
13:17:31.21881 2020-07-06	input arrived You position Blacksmith.Anvil
13:17:31.30281 2020-07-06	input exited You position Blacksmith.Anvil.Top
13:17:31.30681 2020-07-06	input exited You position Blacksmith.Anvil
13:17:34.39913 2020-07-06	input arrived You at (296.3, 0.1, 0.0)
13:17:34.47313 2020-07-06	succeeded Take(You, A Sturdy Sword)
13:17:34.50613 2020-07-06	started Pocket(You, A Sturdy Sword)
13:17:35.48213 2020-07-06	succeeded Pocket(You, A Sturdy Sword)
13:17:35.51813 2020-07-06	started EnableIcon(Attack, sword, Bandit, Kill the bandit, false)
13:17:35.52313 2020-07-06	started EnableIcon(Practice, swords, Blacksmith.Target, Practice swordmanship, false)
13:17:35.52713 2020-07-06	started EnableIcon(Practice, swords, Courtyard.Target, Practice swordmanship, false)
13:17:35.56113 2020-07-06	succeeded EnableIcon(Attack, sword, Bandit, Kill the bandit, false)
13:17:35.56513 2020-07-06	succeeded EnableIcon(Practice, swords, Blacksmith.Target, Practice swordmanship, false)
13:17:35.56913 2020-07-06	succeeded EnableIcon(Practice, swords, Courtyard.Target, Practice swordmanship, false)
13:17:36.90715 2020-07-06	input Leave Blacksmith.Door
13:17:36.96115 2020-07-06	started WalkTo(You, Blacksmith.Door)
13:17:36.96415 2020-07-06	input started walking You at (296.3, 0.1, 0.0)
13:17:36.96915 2020-07-06	input started walking You at (296.3, 0.1, 0.0)
13:17:36.97316 2020-07-06	input stopped walking You at (296.3, 0.1, 0.0)
13:17:37.02215 2020-07-06	input started walking You at (296.3, 0.1, 0.0)
13:17:37.14115 2020-07-06	input arrived You position Blacksmith.Anvil.Top
13:17:37.14515 2020-07-06	input arrived You position Blacksmith.Anvil
13:17:37.55815 2020-07-06	input exited You position Blacksmith.Anvil.Top
13:17:37.56215 2020-07-06	input exited You position Blacksmith.Anvil
13:17:37.98015 2020-07-06	input arrived You position Blacksmith.Door.In
13:17:38.39915 2020-07-06	input exited You position Blacksmith.Door.In
13:17:38.48415 2020-07-06	input arrived You at (300.7, 0.1, -0.3)
13:17:38.66515 2020-07-06	input arrived You position Blacksmith.Door
13:17:38.81215 2020-07-06	input exited You position Blacksmith.Door
13:17:38.82215 2020-07-06	succeeded WalkTo(You, Blacksmith.Door)
13:17:38.94015 2020-07-06	started Exit(You, Blacksmith.Door, true)
13:17:40.18315 2020-07-06	input arrived You position Blacksmith.Door
13:17:40.31815 2020-07-06	input exited You position Blacksmith.Door
13:17:45.49521 2020-07-06	input arrived You position Blacksmith.Door.Out
13:17:47.17121 2020-07-06	input arrived You at (303.6, 0.0, -0.3)
13:17:47.33221 2020-07-06	succeeded Exit(You, Blacksmith.Door, true)
13:17:47.38521 2020-07-06	started Enter(You, GreatHall.LeftDoor, true)
13:17:47.85521 2020-07-06	input arrived You position GreatHall.LeftDoor.Out
13:17:47.85921 2020-07-06	input exited You position Blacksmith.Door.Out
13:17:51.26553 2020-07-06	input arrived You position GreatHall.LeftDoor.In
13:17:51.52154 2020-07-06	input arrived You at (570.6, 7.6, -3.8)
13:17:51.52654 2020-07-06	input stopped walking You at (570.6, 7.6, -3.8)
13:17:51.59653 2020-07-06	input exited You position GreatHall.LeftDoor.In
13:17:51.60453 2020-07-06	input started walking You at (570.6, 7.6, -3.8)
13:17:51.70754 2020-07-06	input started walking You at (570.6, 7.6, -3.8)
13:17:52.35526 2020-07-06	input started walking You at (572.0, 7.6, -2.9)
13:17:52.36025 2020-07-06	input stopped walking You at (572.0, 7.6, -2.9)
13:17:52.48525 2020-07-06	input started walking You at (572.0, 7.6, -2.9)
13:17:52.80126 2020-07-06	succeeded Enter(You, GreatHall.LeftDoor, true)
13:17:53.53030 2020-07-06	input arrived You at (574.5, 7.6, -1.7)
13:17:54.50936 2020-07-06	input stopped walking You at (576.2, 7.3, -3.9)
13:17:55.53447 2020-07-06	input arrived You at (576.2, 7.3, -3.9)
13:17:55.95647 2020-07-06	input Leave GreatHall.Gate
13:17:55.98847 2020-07-06	started WalkTo(You, GreatHall.Gate)
13:17:55.99347 2020-07-06	input started walking You at (576.2, 7.3, -3.9)
13:17:55.99847 2020-07-06	input started walking You at (576.2, 7.3, -3.9)
13:17:56.02947 2020-07-06	input started walking You at (576.2, 7.3, -3.9)
13:17:57.54020 2020-07-06	input arrived You at (576.9, 4.4, -7.7)
13:17:59.55429 2020-07-06	input arrived You at (580.6, 2.7, -12.6)
13:18:00.77829 2020-07-06	input arrived You position GreatHall.Gate
13:18:01.37430 2020-07-06	succeeded WalkTo(You, GreatHall.Gate)
13:18:01.40029 2020-07-06	started Exit(You, GreatHall.Gate, true)
13:18:06.83332 2020-07-06	input arrived You at (585.2, 2.6, -19.8)
13:18:06.88332 2020-07-06	succeeded Exit(You, GreatHall.Gate, true)
13:18:06.91333 2020-07-06	started Enter(You, Courtyard.Gate, true)
13:18:07.09232 2020-07-06	input arrived You position Courtyard.Gate.Out
13:18:12.19121 2020-07-06	input arrived You position Courtyard.Gate.In
13:18:12.37921 2020-07-06	input stopped walking You at (893.7, -3.4, -6.7)
13:18:12.43221 2020-07-06	input started walking You at (893.7, -3.3, -6.7)
13:18:12.43621 2020-07-06	input arrived You at (893.7, -3.3, -6.7)
13:18:12.47721 2020-07-06	input exited You position Courtyard.Gate.In
13:18:12.48321 2020-07-06	input started walking You at (893.7, -3.3, -6.7)
13:18:12.61721 2020-07-06	input arrived You position Courtyard.Gate.In
13:18:13.05023 2020-07-06	input started walking You at (894.7, -3.3, -6.6)
13:18:13.05521 2020-07-06	input stopped walking You at (894.7, -3.3, -6.6)
13:18:13.09721 2020-07-06	input exited You position Courtyard.Gate.In
13:18:13.10621 2020-07-06	input started walking You at (894.7, -3.3, -6.6)
13:18:13.19220 2020-07-06	input arrived You position Courtyard.Gate.In
13:18:13.35221 2020-07-06	input exited You position Courtyard.Gate.In
13:18:13.35721 2020-07-06	succeeded Enter(You, Courtyard.Gate, true)
13:18:14.47815 2020-07-06	input arrived You at (897.5, -3.3, -7.9)
13:18:16.49116 2020-07-06	input arrived You at (903.7, -3.3, -10.4)
13:18:17.16316 2020-07-06	input arrived You position Courtyard.Fountain
13:18:17.71669 2020-07-06	input exited You position Courtyard.Fountain
13:18:18.50969 2020-07-06	input arrived You at (909.7, -3.3, -7.4)
13:18:20.50858 2020-07-06	input arrived You position Courtyard.Exit
13:18:20.51861 2020-07-06	started Exit(You, Courtyard.Exit, true)
13:18:22.40102 2020-07-06	input arrived You at (920.1, -3.3, -6.1)
13:18:22.48902 2020-07-06	succeeded Exit(You, Courtyard.Exit, true)
13:18:22.53301 2020-07-06	started Enter(You, CastleCrossroads.Gate, true)
13:18:22.86901 2020-07-06	input arrived You position CastleCrossroads.Gate.Out
13:18:25.65559 2020-07-06	input arrived You position CastleCrossroads.Gate
13:18:25.78959 2020-07-06	input started walking You at (-1193.2, 0.1, 6.8)
13:18:25.79459 2020-07-06	input arrived You at (-1193.2, 0.1, 6.8)
13:18:25.79859 2020-07-06	input stopped walking You at (-1193.2, 0.1, 6.8)
13:18:25.83359 2020-07-06	input started walking You at (-1193.2, 0.1, 6.8)
13:18:26.52341 2020-07-06	input started walking You at (-1193.2, 0.1, 5.1)
13:18:26.57040 2020-07-06	input started walking You at (-1193.2, 0.1, 5.1)
13:18:26.57440 2020-07-06	input stopped walking You at (-1193.2, 0.1, 5.1)
13:18:26.60641 2020-07-06	input started walking You at (-1193.2, 0.1, 5.0)
13:18:26.72543 2020-07-06	succeeded Enter(You, CastleCrossroads.Gate, true)
13:18:26.75742 2020-07-06	input exited You position CastleCrossroads.Gate
13:18:27.80197 2020-07-06	input arrived You at (-1193.2, 0.1, 1.4)
13:18:29.81049 2020-07-06	input arrived You at (-1194.1, 0.1, -5.3)
13:18:30.34716 2020-07-06	input arrived You position CastleCrossroads.Left
13:18:30.95316 2020-07-06	input exited You position CastleCrossroads.Left
13:18:31.82492 2020-07-06	input arrived You at (-1200.0, 0.1, -8.5)
13:18:32.10592 2020-07-06	input arrived You position CastleCrossroads.EastSign
13:18:32.63992 2020-07-06	input exited You position CastleCrossroads.EastSign
13:18:32.64394 2020-07-06	input arrived You position CastleCrossroads.EastEnd
13:18:32.64894 2020-07-06	started Exit(You, CastleCrossroads.EastEnd, true)
13:18:32.75993 2020-07-06	input exited You position CastleCrossroads.EastEnd
13:18:34.08842 2020-07-06	input started walking You at (-1205.2, 0.0, -12.4)
13:18:34.09242 2020-07-06	input arrived You at (-1205.2, 0.0, -12.4)
13:18:34.12142 2020-07-06	input started walking You at (-1204.0, 0.1, -10.5)
13:18:34.14694 2020-07-06	succeeded Exit(You, CastleCrossroads.EastEnd, true)
13:18:34.17594 2020-07-06	started Enter(You, SpookyPath.EastEnd, true)
13:18:36.77871 2020-07-06	input stopped walking You at (2099.6, 0.0, 14.8)
13:18:36.81971 2020-07-06	input started walking You at (2099.6, 0.1, 14.8)
13:18:36.82471 2020-07-06	input arrived You at (2099.6, 0.1, 14.8)
13:18:36.87271 2020-07-06	input started walking You at (2099.6, 0.1, 14.8)
13:18:36.91371 2020-07-06	input started walking You at (2099.6, 0.1, 14.8)
13:18:36.91971 2020-07-06	input stopped walking You at (2099.6, 0.1, 14.8)
13:18:36.97471 2020-07-06	input started walking You at (2099.6, 0.1, 14.8)
13:18:37.16771 2020-07-06	succeeded Enter(You, SpookyPath.EastEnd, true)
13:18:38.84209 2020-07-06	input arrived You at (2100.4, 0.1, 9.2)
13:18:40.13053 2020-07-06	input stopped walking You at (2099.1, 0.1, 5.5)
13:18:40.90956 2020-07-06	input arrived You at (2099.1, 0.1, 5.5)
13:18:43.92413 2020-07-06	input Attack Bandit
13:18:43.99311 2020-07-06	started WalkTo(You, Bandit)
13:18:43.99811 2020-07-06	input started walking You at (2099.1, 0.1, 5.5)
13:18:44.00311 2020-07-06	input started walking You at (2099.1, 0.1, 5.5)
13:18:44.07811 2020-07-06	input started walking You at (2099.1, 0.1, 5.5)
13:18:46.00125 2020-07-06	input arrived You at (2093.3, 0.1, 4.2)
13:18:46.22024 2020-07-06	input arrived You position SpookyPath.Well
13:18:46.22424 2020-07-06	input arrived You position Bandit
13:18:46.23424 2020-07-06	succeeded WalkTo(You, Bandit)
13:18:46.30324 2020-07-06	started DisableInput()
13:18:46.30724 2020-07-06	started Draw(You, A Sturdy Sword)
13:18:46.42524 2020-07-06	succeeded DisableInput()
13:18:46.87324 2020-07-06	input exited You position SpookyPath.Well
13:18:46.93924 2020-07-06	input arrived You position SpookyPath.Well
13:18:47.25724 2020-07-06	input exited You position SpookyPath.Well
13:18:47.41324 2020-07-06	input exited You position Bandit
13:18:47.70676 2020-07-06	input arrived You position Bandit
13:18:47.78375 2020-07-06	input exited You position Bandit
13:18:47.95175 2020-07-06	input arrived You position Bandit
13:18:47.95576 2020-07-06	input arrived You position SpookyPath.Well
13:18:48.15675 2020-07-06	input exited You position SpookyPath.Well
13:18:48.68175 2020-07-06	succeeded Draw(You, A Sturdy Sword)
13:18:48.76776 2020-07-06	started Attack(You, Bandit)
13:18:49.17575 2020-07-06	input arrived You position SpookyPath.Well
13:18:50.27440 2020-07-06	input exited You position SpookyPath.Well
13:18:50.41140 2020-07-06	input arrived You position SpookyPath.Well
13:18:50.59040 2020-07-06	input exited You position SpookyPath.Well
13:18:51.90639 2020-07-06	input exited You position Bandit
13:18:52.29939 2020-07-06	input arrived You position Bandit
13:18:52.30439 2020-07-06	input arrived You position SpookyPath.Well
13:18:52.51639 2020-07-06	input exited You position SpookyPath.Well
13:18:52.58739 2020-07-06	input exited You position Bandit
13:18:53.24790 2020-07-06	input arrived You position Bandit
13:18:54.17283 2020-07-06	succeeded Attack(You, Bandit)
13:18:54.27183 2020-07-06	started Sheathe(You, A Sturdy Sword)
13:18:54.27883 2020-07-06	started SetExpression(Bandit, scared)
13:18:54.28383 2020-07-06	started Die(Bandit)
13:18:54.40534 2020-07-06	succeeded SetExpression(Bandit, scared)
13:18:54.62434 2020-07-06	input arrived You position SpookyPath.Well
13:18:55.11386 2020-07-06	input exited You position SpookyPath.Well
13:18:55.34786 2020-07-06	succeeded Sheathe(You, A Sturdy Sword)
13:19:00.17152 2020-07-06	succeeded Die(Bandit)
13:19:00.31904 2020-07-06	started SetExpression(Bandit, asleep)
13:19:00.32404 2020-07-06	started DisableIcon(Talk, Bandit)
13:19:00.32904 2020-07-06	started DisableIcon(Attack, Bandit)
13:19:00.33504 2020-07-06	started DisableInput()
13:19:00.34104 2020-07-06	started CreateEffect(You, Resurrection)
13:19:00.35004 2020-07-06	started PlaySound(spell)
13:19:00.45304 2020-07-06	succeeded SetExpression(Bandit, asleep)
13:19:00.45804 2020-07-06	succeeded DisableIcon(Talk, Bandit)
13:19:00.46304 2020-07-06	succeeded DisableIcon(Attack, Bandit)
13:19:00.46904 2020-07-06	succeeded DisableInput()
13:19:00.47304 2020-07-06	succeeded CreateEffect(You, Resurrection)
13:19:00.47804 2020-07-06	succeeded PlaySound(spell)
13:19:01.25904 2020-07-06	started SetNarration(You earned a new skill point. Press E to open the skills menu and upgrade your skills.)
13:19:01.26304 2020-07-06	started ShowNarration()
13:19:01.26704 2020-07-06	started EnableInput()
13:19:01.27104 2020-07-06	started EnableInput()
13:19:01.34204 2020-07-06	succeeded SetNarration(You earned a new skill point. Press E to open the skills menu and upgrade your skills.)
13:19:01.34704 2020-07-06	succeeded ShowNarration()
13:19:01.35104 2020-07-06	succeeded EnableInput()
13:19:01.35504 2020-07-06	succeeded EnableInput()
13:19:02.39081 2020-07-06	input Close Narration
13:19:02.47180 2020-07-06	started HideNarration()
13:19:02.60180 2020-07-06	succeeded HideNarration()
13:19:02.60580 2020-07-06	input arrived You at (2093.2, 0.1, 4.2)
13:19:03.05032 2020-07-06	input arrived You position SpookyPath.Well
13:19:04.10000 2020-07-06	input started walking You at (2093.2, 0.1, 4.2)
13:19:04.10502 2020-07-06	input stopped walking You at (2093.2, 0.1, 4.2)
13:19:04.13400 2020-07-06	input started walking You at (2093.2, 0.1, 4.2)
13:19:04.33600 2020-07-06	input exited You position SpookyPath.Well
13:19:04.36100 2020-07-06	input exited You position Bandit
13:19:04.61400 2020-07-06	input arrived You at (2094.0, 0.1, 3.7)
13:19:05.25700 2020-07-06	input arrived You position SpookyPath.DirtPile
13:19:05.57900 2020-07-06	input exited You position SpookyPath.DirtPile
13:19:06.62311 2020-07-06	input arrived You at (2098.7, 0.1, -1.1)
13:19:08.14245 2020-07-06	input arrived You position SpookyPath.WestEnd
13:19:08.14947 2020-07-06	started Exit(You, SpookyPath.WestEnd, true)
13:19:08.29946 2020-07-06	input exited You position SpookyPath.WestEnd
13:19:09.56193 2020-07-06	input arrived You at (2102.0, 0.0, -9.1)
13:19:09.59992 2020-07-06	succeeded Exit(You, SpookyPath.WestEnd, true)
13:19:09.62992 2020-07-06	started Enter(You, Ruins.Exit, true)
13:19:12.12497 2020-07-06	input started walking You at (2375.7, 21.5, 37.6)
13:19:12.12897 2020-07-06	input arrived You at (2375.7, 21.5, 37.6)
13:19:12.13397 2020-07-06	input stopped walking You at (2375.7, 21.5, 37.6)
13:19:12.18697 2020-07-06	input started walking You at (2375.7, 21.5, 37.6)
13:19:12.22698 2020-07-06	input started walking You at (2375.7, 21.5, 37.6)
13:19:12.26697 2020-07-06	input started walking You at (2375.7, 21.5, 37.6)
13:19:12.27097 2020-07-06	input stopped walking You at (2375.7, 21.5, 37.6)
13:19:12.29897 2020-07-06	input started walking You at (2375.7, 21.5, 37.6)
13:19:12.43697 2020-07-06	succeeded Enter(You, Ruins.Exit, true)
13:19:12.46697 2020-07-06	started EnableIcon(TravelRuins, Dungeon, Courtyard.Horse, Travel to the Ruins, false)
13:19:12.50097 2020-07-06	succeeded EnableIcon(TravelRuins, Dungeon, Courtyard.Horse, Travel to the Ruins, false)
13:19:14.13231 2020-07-06	input arrived You at (2381.2, 23.0, 37.7)
13:19:15.35831 2020-07-06	input stopped walking You at (2384.7, 24.5, 37.8)
13:19:15.95004 2020-07-06	input Talk Fia the Deathseeker
13:19:15.98303 2020-07-06	started SetLeft(You)
13:19:15.99103 2020-07-06	started SetRight(Fia the Deathseeker)
13:19:15.99603 2020-07-06	started WalkTo(You, Fia the Deathseeker)
13:19:16.00103 2020-07-06	input started walking You at (2384.7, 24.5, 37.8)
13:19:16.00503 2020-07-06	input started walking You at (2384.7, 24.5, 37.8)
13:19:16.04903 2020-07-06	succeeded SetLeft(You)
13:19:16.05303 2020-07-06	succeeded SetRight(Fia the Deathseeker)
13:19:16.05803 2020-07-06	input started walking You at (2384.7, 24.5, 37.8)
13:19:16.16304 2020-07-06	input arrived You at (2384.8, 24.5, 37.8)
13:19:16.51503 2020-07-06	input arrived You position Ruins.Altar
13:19:16.95503 2020-07-06	input exited You position Ruins.Altar
13:19:18.14507 2020-07-06	input arrived You position Ruins.Throne
13:19:18.17607 2020-07-06	input arrived You position Fia the Deathseeker
13:19:18.18207 2020-07-06	succeeded WalkTo(You, Fia the Deathseeker)
13:19:18.18707 2020-07-06	input arrived You at (2391.1, 24.5, 37.7)
13:19:18.22208 2020-07-06	started SetDialog("You must have a death wish to walk into my sanctum like this. Give me one good reason why I shouldn't turn you into ash right this moment.\n[nodisrespect|I meant no disrespect. I'm new to this dominion]\n[straightshooter|I'm not here to die. I'm here to learn]\n[foolish|I don't take joy in empty threats, old one]")
13:19:18.25607 2020-07-06	succeeded SetDialog("You must have a death wish to walk into my sanctum like this. Give me one good reason why I shouldn't turn you into ash right this moment.\n[nodisrespect|I meant no disrespect. I'm new to this dominion]\n[straightshooter|I'm not here to die. I'm here to learn]\n[foolish|I don't take joy in empty threats, old one]")
13:19:18.29407 2020-07-06	started ShowDialog()
13:19:18.36207 2020-07-06	succeeded ShowDialog()
13:19:19.75807 2020-07-06	input Selected nodisrespect
13:19:19.78508 2020-07-06	started ClearDialog()
13:19:19.78907 2020-07-06	started SetDialog("That still doesn't justify you being here. If you're not here to serve, you have little time to leave to whatever hole you crawled out of.\n[serve|What do you need me to do?]\n[leave|Leave]")
13:19:19.81307 2020-07-06	succeeded ClearDialog()
